작업ID,PRD_참조,대분류,비고,상태,선행작업,작업그룹,주차
W1-01,전체,프로젝트셋업,견적서 1주차 작업,완료,,개발환경 구축 및 요구사항 정리,1주차
W1-02,전체,UI/UX디자인,고객용/정비소용 앱 디자인,완료,,앱 UI/UX 디자인 완성,1주차
W1-03,1.1,사용자앱,React Native Expo 기본 구조 | 3주차(9/29): Expo 팀 계정 연결 완료,완료,W1-01,기본 프로젝트 세팅 및 아키텍처,1주차
W2-01,1.1-1.2,사용자앱,견적서 2-3주차 프론트엔드 | 3주차(10/3): 로그인 페이지 UI 수정 및 개선 작업 진행,완료,W1-02,회원가입/로그인 UI 구현,2주차
W2-02,1.2-1.3,사용자앱,지도 연동 UI 포함 | 3주차(10/3): 안드로이드/웹 지도 API 연결 완료,완료,W1-02,정비소 검색 및 상세정보 UI,2주차
W2-03,2.1-2.2,정비업체앱,정비소용 앱 메인 화면 | 3주차(10/3): 정비소용 앱 프로토타입 개발 시작,완료,W1-02,예약관리 대시보드 UI,2주차
W3-01,1.4-1.5,사용자앱,달력 및 예약관리 화면,완료,W2-01,예약 시스템 UI 구현,3주차
W3-02,1.6,사용자앱,20→100개 확장 가능 구조,완료,W2-02,견적서 시스템 UI (확장형 메뉴),3주차
W3-03,2.3-2.4,정비업체앱,정비소 작업 관리 화면,완료,W2-03,견적서 작성 및 작업지시서 UI,3주차
W3-04,3.1-3.2,관리자시스템,관리자 대시보드 화면 | 3주차: 관리자 대시보드 UI 구현 진행 중,완료,W1-02,업체/사용자 관리 UI,3주차
W4-01,1.1,사용자앱,견적서 4-6주차 사용자앱 개발,시작 전,W2-01,회원가입/로그인 백엔드 연동,4주차
W4-02,4.6,외부연동,카카오/네이버/구글 OAuth,시작 전,W4-01,소셜 로그인 연동 구현,4주차
W4-03,1.2,사용자앱,5만개 업체 DB 연동,완료,W2-02,위치기반 정비소 검색 시스템,4주차
W5-01,1.3-1.4,사용자앱,실시간 예약 현황 연동,완료,W4-03,정비소 상세정보 및 예약 시스템,5주차
W5-02,4.4-4.5,외부연동,카카오맵/네이버맵 연동,진행 중,W4-03,지도 API 및 차량정보 API 연동,5주차
W5-03,1.5,사용자앱,예약 변경/취소 기능,완료,W5-01,예약 관리 시스템 구현,5주차
W6-01,1.6,사용자앱,확장형 서비스 메뉴 로직,완료,W3-02,견적서 시스템 백엔드 구현,6주차
W6-02,1.7-1.8,사용자앱,오토케어넷 기존 시스템 연동,완료,W5-03,작업지시서 연동 및 할인 시스템,6주차
W6-03,1.9,사용자앱,평점 및 리뷰 기능,완료,W5-01,후기 시스템 구현,6주차
W7-01,2.1-2.2,정비업체앱,견적서 7-8주차 정비업체앱,완료,W3-03,예약관리 및 고객관리 시스템,7주차
W7-02,2.3,정비업체앱,확장형 메뉴 연동,완료,W6-01,모바일 견적서 작성 시스템,7주차
W7-03,2.7,정비업체앱,SMS 발송 및 가입 유도,완료,W7-01,링크 기반 마케팅 시스템,7주차
W8-01,2.4-2.5,정비업체앱,매출 관리 기능,완료,W7-02,작업지시서 및 정산 시스템,8주차
W8-02,2.6,정비업체앱,데이터 분석 대시보드,완료,W8-01,매출 통계 및 고객 분석,8주차
W8-03,3.1-3.2,관리자시스템,5만개 업체 DB 관리,완료,W3-04,업체/사용자 관리 시스템,8주차
W9-01,4.1,외부연동,견적서 9-10주차 외부연동,시작 전,W8-03,오토케어넷 웹사이트 DB 연동,9주차
W9-02,4.2,외부연동,토스페이먼츠/아임포트 연동,시작 전,W6-02,결제 시스템 연동 구현,9주차
W9-03,3.3,관리자시스템,공지사항/이벤트/쿠폰 관리,시작 전,W8-03,콘텐츠 관리 시스템,9주차
W10-01,4.3,외부연동,Push/SMS/이메일 통합,시작 전,W9-02,통합 알림 시스템 구현,10주차
W10-02,3.4,관리자시스템,앱 사용현황 분석,시작 전,W9-03,통계 대시보드 완성,10주차
W10-03,전체,시스템통합,고객/정비소/관리자 연동,시작 전,W10-01,전체 시스템 통합 테스트,10주차
W11-01,전체,빌드배포,견적서 11주차 앱 분리 빌드,시작 전,W10-03,고객용 앱 분리 빌드,11주차
W11-02,전체,빌드배포,별도 앱으로 빌드,시작 전,W10-03,정비소용 앱 분리 빌드,11주차
W11-03,전체,빌드배포,메타데이터 및 스크린샷 준비,시작 전,W11-01,앱스토어 등록 준비,11주차
W12-01,전체,QA테스트,견적서 12주차 QA 기간,시작 전,W11-03,기능 테스트 및 버그 수정,12주차
W12-02,전체,QA테스트,iOS/Android 호환성,시작 전,W12-01,크로스 플랫폼 테스트,12주차
W12-03,전체,QA테스트,로딩속도 및 메모리 최적화,시작 전,W12-02,성능 최적화,12주차
W13-01,전체,배포,견적서 13주차 최종 배포,시작 전,W12-03,앱스토어 최종 등록,13주차
W13-02,전체,배포,운영 환경 안정화,시작 전,W13-01,서비스 안정화 및 모니터링,13주차
W13-03,전체,문서화,유지보수 문서 정리,시작 전,W13-02,개발 문서 및 운영 가이드 작성,13주차
